"","name","category_list","market","funding_total_usd","status","state_code","region","city","funding_rounds","founded_at","founded_month","founded_quarter","founded_year","seed","venture","equity_crowdfunding","undisclosed","convertible_note","debt_financing","angel","grant","private_equity","post_ipo_equity","post_ipo_debt","secondary_market","product_crowdfunding","round_A","round_B","round_C","round_D","round_E","round_F","round_G","round_H","first_funding_day","first_funding_month","first_funding_year","last_funding_day","last_funding_month","last_funding_year","post_success"
"22598","Simulated Surgical Systems","|Software|","Software",450000,"operating","NY","Buffalo","Buffalo",1,"1","6","Q2","2009",0,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6","4","2011","6","4","2011","0"
"22600","Simulmedia","|Television|Sales and Marketing|Media|Advertising|","Media",58250000,"operating","NY","New York City","New York",6,"1","1","Q1","2009",0,58250000,0,0,0,0,0,0,0,0,0,0,0,4e+06,8e+06,21250000,2.5e+07,0,0,0,0,"6","3","2009","10","12","2013","0"
"22601","SimulScribe","|Messaging|","Messaging",5700000,"closed","NY","New York City","New York",3,"18","3","Q1","2003",2e+05,0,0,0,0,0,5500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","2004","1","12","2007","0"
"22603","Since1910.com","|Jewelry|Fashion|E-Commerce|","Jewelry",1e+05,"operating","NY","Long Island","Garden City",1,"1","1","Q1","1910",1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","2007","1","1","2007","0"
"22604","Sincerely","|Social Media|","Social Media",3e+06,"acquired","CA","SF Bay Area","San Francisco",1,"1","1","Q1","2011",0,3e+06,0,0,0,0,0,0,0,0,0,0,0,3e+06,0,0,0,0,0,0,0,"26","10","2011","26","10","2011","1"
"22608","Single Cell Technology","|Biotechnology|","Biotechnology",323777,"operating","CA","SF Bay Area","San Jose",1,"1","1","Q1","2008",0,0,0,0,0,323777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20","12","2012","20","12","2012","0"
"22610","Single Touch Systems","|Mobile|","Mobile",11169005,"operating","CA","San Diego","Encinitas",3,"1","1","Q1","2001",0,8169005,0,0,0,3e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9","7","2010","11","10","2012","0"
"22612","SingleHop","|Networking|Cloud Computing|Infrastructure|IaaS|Web Hosting|","Networking",42300000,"operating","IL","Chicago","Chicago",3,"1","1","Q1","2006",0,27500000,0,0,0,14800000,0,0,0,0,0,0,0,27500000,0,0,0,0,0,0,0,"25","4","2012","20","5","2014","0"
"22613","SinglePlatform","|Reviews and Recommendations|Web Development|Content|Web Presence Management|Hospitality|Restaurants|Social Media|Curated Web|","Web Development",4575000,"acquired","NY","New York City","New York",3,"1","1","Q1","2010",1200000,3250000,0,0,0,125000,0,0,0,0,0,0,0,3250000,0,0,0,0,0,0,0,"29","9","2010","1","8","2011","1"
"22614","Singly","|Analytics|","Analytics",8950000,"acquired","CA","SF Bay Area","San Francisco",3,"21","12","Q4","2010",1950000,7e+06,0,0,0,0,0,0,0,0,0,0,0,7e+06,0,0,0,0,0,0,0,"1","2","2011","8","5","2013","1"
"22616","Singular","|Marketing Automation|SaaS|Advertising|","Marketing Automation",5e+06,"operating","CA","SF Bay Area","San Francisco",1,"1","1","Q1","2014",5e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17","7","2014","17","7","2014","0"
"22617","Singulex","|Biotechnology|","Biotechnology",127336875,"operating","CA","SF Bay Area","Alameda",7,"1","1","Q1","2003",0,87336875,0,0,0,4e+07,0,0,0,0,0,0,0,0,0,9350000,1.9e+07,1.9e+07,15335540,1.5e+07,0,"17","7","2006","26","9","2013","0"
"22618","SingWho","|Law Enforcement|Career Management|Contests|Music|","Music",3e+05,"operating","NY","New York City","New York",1,"1","1","Q1","2012",3e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25","3","2013","25","3","2013","0"
"22619","SiNode Systems","|Batteries|","Batteries",1e+06,"operating","IL","Chicago","Evanston",2,"1","1","Q1","2012",0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,"13","3","2014","17","6","2014","0"
"22620","Sinopsys Surgical","|Health Care|","Health Care",10168014,"operating","CO","Denver","Boulder",4,"1","1","Q1","2011",1309999,8258015,0,0,0,6e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6","4","2011","16","10","2014","0"
